Data|Mes|cod. Externo|Origem|ID Item|sku|Nome|Qty|Valor Venda|Frete|Custo|Fornecedor|Status Pedido|Comprado|Faturado|Expedido
23/2/2017|2|67576110-2045984|Walmart|33827|DULER_251|Revisteiro Aramado Duplo|1|82,37|0|42,99|Duler|Processando|Não|Não|Não
23/2/2017|2|67595844-2045984|Walmart|33830|CES-08|Lixinho De Sapinho|1|95,77|0|42|MaisAZ|Processando|Não|Não|Não
23/2/2017|2|67577983-2045984|Walmart|33829|110FOR90F|Forno Elétrico 9 Litros Multifunções Ford - 110V 800W|1|206,08|0|95,1|NKS|Processando|Não|Não|Não
23/2/2017|2|67576378-2045984|Walmart|33828|P3227|Som Automotivo Multilaser Rock+ Tela 3 + Tv Digital Rádio Fm Entradas Mp4 - P3227|1|278,25|0|164|Multilaser|Processando|Não|Não|Não
23/2/2017|2|11482512001|cnova|33862|SERTIC_80.1200|Brinquedo Super Moto para Montar com 118 Pcs|1|157,52|19,72|13,1|Sertic|Processando|Não|Não|Não
23/2/2017|2|11482512001|cnova|33861|SERTIC_80.0600|Brinquedo Futebol para Montar com 251 Pcs|1|157,52|19,72|47,48|Sertic|Processando|Não|Não|Não
23/2/2017|2|1299560987|MERCADO LIVRE|33859|9788535923209|Livro - Longe da árvore|1|114,8|24,9|49,74|superpedido|Processando|Não|Não|Não
23/2/2017|2|1299557005|MERCADO LIVRE|33858|6070.P.0012|Pasta Sanfonada A4 Pp Dellosmile Preta Com 12 Divisórias|1|68,8|44,9|8,61|Dello|Processando|Não|Não|Não
23/2/2017|2|1299573054|MERCADO LIVRE|33860|Cromus_112044|24 Colher de Plástico de Chá Prata Dec. Festas|1|30,8|16,9|5,3|cromus|Processando|Não|Não|Não
23/2/2017|2|264117240001|B2W|33857|CA318|Caixa Amplificadora Multiuso com Bluetooth, Karaokê e Hi-Fi Lenoxx|1|879,9|78,24|514,78|Lenoxx|Processando|Não|Não|Não
23/2/2017|2|702128487|MOBLY|33856|ZH002P|Pendente Tiffany - Bivolt|1|514,9|64,07|224,03|Bella|Processando|Não|Não|Não
23/2/2017|2|11482336801|cnova|33850|ALUMI_627|Panela Reforçada 2.6 Litros Alumínio Polido|1|233,27|26,17|13,19|Estamparia|Processando|Não|Não|Não
23/2/2017|2|11482336801|cnova|33853|ALUMI_613|Leiteira Extra 2.4 Litros Alumínio Polido - Alumínio Oliveira|1|233,27|26,17|10,35|Estamparia|Processando|Não|Não|Não
23/2/2017|2|11482336801|cnova|33849|ALUMI_942|Caçarola 3.4 Litros Antiaderente Com Tampa De Vidro|1|233,27|26,17|31,28|Estamparia|Processando|Não|Não|Não
23/2/2017|2|11482336801|cnova|33852|ALUMI_628|Panela Reforçada 3.3 Litros Alumínio Polido|1|233,27|26,17|15,56|Estamparia|Processando|Não|Não|Não
23/2/2017|2|11482336801|cnova|33855|DULER_866|Cabide Adulto Simples 38 cm - 3 Peças|1|233,27|26,17|4,5|Duler|Processando|Não|Não|Não
23/2/2017|2|11482336801|cnova|33848|ALUMI_854|Caçarola Reforçada 4 Litros Com Tampa Alumínio Polido|1|233,27|26,17|18,27|Estamparia|Processando|Não|Não|Não
23/2/2017|2|11482336801|cnova|33851|ALUMI_1030|Frigideira Francesa Gold Green 24 cm Antiaderente - Alumínio Oliveira|1|233,27|26,17|15,86|Estamparia|Processando|Não|Não|Não
23/2/2017|2|11482336801|cnova|33854|DULER_866|Cabide Adulto Simples 38 cm - 3 Peças|1|233,27|26,17|4,5|Duler|Processando|Não|Não|Não
23/2/2017|2|11482336801|cnova|33847|Nitron122|Porta Escovas Com Tampa|1|233,27|26,17|2,99|NITRON|Processando|Não|Não|Não
23/2/2017|2|1299533034|MERCADO LIVRE|33843|9788520341698|Livro - Repercussão Geral No Recurso Extraordinário|1|71,35|33,9|18,6|BookPartners|Processando|Não|Não|Não
23/2/2017|2|1299546879|MERCADO LIVRE|33846|Cromus_1421626|Gaiola Aramada decorativa Branco Decoração Festas|2|26,7|18,9|1,53|Cromus|Processando|Não|Não|Não
23/2/2017|2|1299527388|MERCADO LIVRE|33842|9788578250379|Livro - Estatística na Área da Saúde|1|162,8|21,9|78|BookPartners|Processando|Não|Não|Não
23/2/2017|2|1299546282|MERCADO LIVRE|33845|9788535250398|Livro - Bases da Patologia em Veterinária|1|790,8|19,9|428,33|BookPartners|Processando|Não|Não|Não
23/2/2017|2|1299534863|MERCADO LIVRE|33844|9788536258898|Livro - Recursos Extraordinários no Stf e no Stj|1|268,8|34,9|129,9|BookPartners|Processando|Não|Não|Não
23/2/2017|2|264112816701|B2W|33841|9788541007429|Livro - Animais barulhentos - oinc e outros barulhos da fazenda|1|53,9|21,77|29,94|superpedido|Processando|Não|Não|Não
23/2/2017|2|708939487|MOBLY|33834|BL-305007|Capa para Almofada África Africana - 43 X 43 Cm Colorida Belchior|1|95,7|13,5|13,5|Belchior|Processando|Não|Não|Não
23/2/2017|2|708948487|MOBLY|33837|BL-406026|Almofada Monet Listrada 43 x 43 cm Vermelha Belchior|1|151,6|13,4|17,9|Belchior|Processando|Não|Não|Não
23/2/2017|2|708948487|MOBLY|33840|BL-41200159|Almofada Suede Lisa Vermelha 43 x 43 cm Vermelha Belchior|1|151,6|13,4|17,9|Belchior|Processando|Não|Não|Não
23/2/2017|2|706327397|MOBLY|33833|BL-302044|Capa para Almofada Vivace Cinza 044 - 43 X 43 Cm Cetim|1|31,9|14,8|13,5|Belchior|Processando|Não|Não|Não
23/2/2017|2|708939487|MOBLY|33836|BL-308002|Capa para Almofada Geométrica 002 - 43 X 43 Cm Colorida Belchior|1|95,7|13,5|13,5|Belchior|Processando|Não|Não|Não
23/2/2017|2|708948487|MOBLY|33839|BL-406030|Almofada Monet 030 43 x 43 cm Branca e Azul Belchior|1|151,6|13,4|17,9|Belchior|Processando|Não|Não|Não
23/2/2017|2|702389487|MOBLY|33832|MGM-887.14|Espelheira Treviso Castanho 63.5 x 14.7 x 55.8 cm|1|189,9|33|74,1|MGM|Processando|Não|Não|Não
23/2/2017|2|708939487|MOBLY|33835|BL-308001|Capa para Almofada Geométrica 001 - 43 X 43 Cm Colorida Belchior|1|95,7|13,5|13,5|Belchior|Processando|Não|Não|Não
23/2/2017|2|708948487|MOBLY|33838|BL-406027|Almofada Monet Listrada 43 x 43 cm Azul Belchior|1|151,6|13,4|17,9|Belchior|Processando|Não|Não|Não
23/2/2017|2|701648487|MOBLY|33831|ACRI_HOPE_NY|Letreiro Duplo Hope Ny Vermelho Acrílico|1|115,9|15,9|49,56|MaisAZ|Processando|Não|Não|Não
23/2/2017|2|1298741001|MERCADO LIVRE|33826|9788569809869|Livro - Dez Mil Céus Sobre Você|1|56,8|18,9|20,94|BookPartners|Processando|5443|Não|Não
23/2/2017|2|1299090054|MERCADO LIVRE|33825|9788567394787|Livro - Mentalidade Anticapitalista, A|1|71,8|33,9|21|BookPartners|Processando|5443|Não|Não
23/2/2017|2|1297093806|MERCADO LIVRE|33824|9788522497287|Livro - Curso de Português Jurídico|1|139,8|19,9|66,6|BookPartners|Processando|5443|Não|Não
23/2/2017|2|1298661043|MERCADO LIVRE|33823|SERTIC_81.1100|Brinquedo Barco Policia para Montar com 83 Pcs|1|52,9|14,9|17,9|Sertic|Processando|5457|Sim|Sim
23/2/2017|2|1298909594|MERCADO LIVRE|33822|9788574590349|Livro - Congregação Cristã no Brasil - Série Conhecer|1|38,8|21,9|8,99|BookPartners|Processando|5443|Não|Não
23/2/2017|2|11480791201|cnova|33821|110FER92V|Ferro Elétrico À Vapor K 925 Nks Mais Você - 127V|1|91,15|21,25|41,33|NKS|Em Transito|5449|Sim|Sim
23/2/2017|2|11476943508|cnova|33820|CZ_0090-04|Cinzeiro Giratório Cartas De Baralho|1|60,86|16,96|19,45|MaisAZ|Processando|5446|Não|Não
23/2/2017|2|349225597204|B2W|33818|9788508160440|Livro - Memórias póstumas de brás cubas|1|61,9|25,64|34,13|superpedido|Processando|5442|Não|Não
23/2/2017|2|349225931801|B2W|33817|7898383590927|Livro- Box Maze Runner - Prova De Fogo|1|178,9|22,64|98,94|superpedido|Processando|5442|Não|Não
23/2/2017|2|349227292001|B2W|33816|9788565101080|Livro - Educacao sexual em 8 licoes como orientar da infancia a adolescencia um guia para professores e pais|1|31,9|25,11|17,679|superpedido|Processando|5442|Não|Não
23/2/2017|2|349224332002|B2W|33819|9788526272125|Livro - Encontros Dagua - Sete Contos D Agua|1|48,9|25,11|26,975|superpedido|Processando|5442|Não|Não
